meanFWHM,stdevFWHM,minFWHM,maxFWHM,rowID
3.740378354,0.120026624,3.542297169,3.907354697,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_01
4.100067075,0.120158419,3.922869516,4.245508006,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_02
6.326260802,0.091814284,6.202881437,6.441604339,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_03
6.066305263,0.070734999,5.974274335,6.145408415,ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_04
5.886712745,0.134211051,5.693534834,6.101865832,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_01
4.67920677,0.0794572,4.558654754,4.795295753,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_02
6.691620724,0.137906038,6.486475706,6.840305636,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_03
6.233090592,0.31794086,5.859503572,6.844074356,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_04
5.106043612,0.443754482,4.476368271,5.793979561,ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_05
4.079630377,0.138778451,3.847300708,4.262789741,ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_01
3.446943337,0.045069251,3.382469253,3.521005182,ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_02
4.057460351,0.116039787,3.922548238,4.230008114,ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_03
