Z,m10_roi1_00001,m11_roi1_00001,m12_roi1_00001,m13_roi1_00002,m15_roi1_00001,m16_roi1_00001,m5_roi2_00003,m6_roi1_00001,m7_roi1_00001,m9_roi1_00002
0,10.0,5.0,20.0,15.0,15.0,5.0,5.0,5.0,5.0,10.0
1,30.0,20.0,20.0,15.0,20.0,5.0,5.0,5.0,5.0,15.0
2,35.0,20.0,20.0,15.0,20.0,5.0,10.0,5.0,15.0,15.0
3,35.0,25.0,25.0,15.0,20.0,15.0,10.0,15.0,15.0,15.0
4,35.0,35.0,25.0,25.0,25.0,15.0,10.0,20.0,15.0,15.0
5,35.0,35.0,25.0,30.0,30.0,20.0,15.0,25.0,20.0,15.0
6,35.0,40.0,25.0,35.0,30.0,20.0,20.0,30.0,25.0,20.0
7,40.0,40.0,30.0,40.0,30.0,25.0,20.0,35.0,25.0,20.0
8,40.0,40.0,30.0,45.0,35.0,25.0,20.0,35.0,25.0,25.0
9,40.0,50.0,30.0,50.0,40.0,35.0,20.0,60.0,40.0,25.0
10,40.0,60.0,35.0,50.0,40.0,40.0,30.0,60.0,70.0,30.0
11,45.0,70.0,35.0,55.0,40.0,40.0,35.0,65.0,80.0,35.0
12,45.0,70.0,35.0,55.0,40.0,40.0,35.0,75.0,115.0,35.0
13,50.0,125.0,35.0,55.0,60.0,40.0,40.0,75.0,125.0,35.0
14,50.0,165.0,40.0,60.0,60.0,45.0,45.0,75.0,,50.0
15,50.0,165.0,40.0,60.0,60.0,50.0,45.0,85.0,,50.0
16,50.0,180.0,40.0,60.0,65.0,55.0,55.0,100.0,,55.0
17,55.0,,40.0,65.0,70.0,65.0,55.0,105.0,,60.0
18,60.0,,40.0,95.0,75.0,65.0,60.0,105.0,,65.0
19,65.0,,45.0,100.0,80.0,75.0,,105.0,,70.0
20,70.0,,45.0,100.0,105.0,85.0,,115.0,,100.0
21,85.0,,50.0,110.0,110.0,95.0,,120.0,,110.0
22,100.0,,50.0,125.0,120.0,110.0,,120.0,,115.0
23,105.0,,60.0,135.0,125.0,110.0,,135.0,,
24,105.0,,60.0,135.0,,115.0,,,,
25,140.0,,70.0,150.0,,115.0,,,,
26,180.0,,70.0,155.0,,115.0,,,,
27,180.0,,115.0,155.0,,120.0,,,,
28,185.0,,145.0,,,130.0,,,,
29,190.0,,170.0,,,135.0,,,,
30,190.0,,170.0,,,145.0,,,,
31,195.0,,175.0,,,150.0,,,,
32,195.0,,190.0,,,155.0,,,,
33,235.0,,190.0,,,160.0,,,,
34,,,190.0,,,160.0,,,,
35,,,210.0,,,165.0,,,,
36,,,215.0,,,165.0,,,,
37,,,245.0,,,185.0,,,,
38,,,250.0,,,,,,,
39,,,265.0,,,,,,,
